35,SPAWH24008-159,Meralco San Pablo Warehousing Project,2024-02-29,648314.39,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
36,SPAWH24008-165,Meralco San Pablo Warehousing Project,2024-02-29,648314.39,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
37,SROWH24009-160,Meralco Sta Rosa Warehousing Project,2024-02-29,800858.95,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
38,SROWH24009-166,Meralco Sta Rosa Warehousing Project,2024-02-29,800858.95,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
39,BATWH24010-161,Meralco Batangas Warehousing Project,2024-02-29,171612.63,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
40,BATWH24010-167,Meralco Batangas Warehousing Project,2024-02-29,171612.63,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
41,PAGWH24011-162,Meralco Pagbilao Warehousing Project,2024-02-29,171612.63,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
42,PAGWH24011-168,Meralco Pagbilao Warehousing Project,2024-02-29,171612.63,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
43,KAMWH24012-054,Meralco Kamuning Substation Support Warehousing Project,2024-02-29,429708.18,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
44,MOCWH2419-02LS,MERALCO FACILITIES - B&G WAREHOUSE - Feb 2024,2024-03-04,284194.11,2024-03-04,2024-01-01,,2024-05-15,2024-05-15
45,ICTWH24020-023,Meralco-ICT Warehouse at TSB & Kamias,2024-02-29,103580.64,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
46,PLAWH24022-157,Meralco Plaridel Warehousing Project,2024-02-07,500136.08,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
47,PLAWH24022-160,Meralco Plaridel Warehousing Project,2024-02-15,500136.08,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
48,PLAWH24022-163,Meralco Plaridel Warehousing Project,2024-02-23,500136.08,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
49,PLAWH24022-166,Meralco Plaridel Warehousing Project,2024-02-29,500136.08,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
50,VALWH24023-158,Meralco Valenzuela Warehousing Project,2024-02-07,434900.94,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
51,VALWH24023-161,Meralco Valenzuela Warehousing Project,2024-02-15,434900.94,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
52,VALWH24023-164,Meralco Valenzuela Warehousing Project,2024-02-23,434900.94,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
53,VALWH24023-167,Meralco Valenzuela Warehousing Project,2024-02-29,434900.94,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
54,BALWH24024-159,Meralco Balintawak Warehousing Project,2024-02-07,500136.08,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
55,BALWH24024-162,Meralco Balintawak Warehousing Project,2024-02-15,500136.08,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
56,BALWH24024-165,Meralco Balintawak Warehousing Project,2024-02-23,500136.08,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
57,BALWH24024-168,Meralco Balintawak Warehousing Project,2024-02-29,500136.08,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
58,MIEWH24021-024,Miescor-Warehouseman for Miescor Trading & UAM,2024-02-29,30666.07,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
59,RABWH24015-019,Radius BSC Warehousing Project,2024-02-29,58069.47,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
60,MSVWH24025-012,MSERV Warehousing Project,2024-02-29,101885.82,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
61,ALATS24053-02LS,PARANAQUE - FLEET - LSCP - Feb 2024,2024-03-15,228707.8,2024-03-22,2024-01-01,,2024-05-15,2024-05-15
62,DASTS24055-02LS,DASMARINAS - FLEET - LSCP - Feb 2024,2024-03-15,301085.9,2024-03-22,2024-01-01,,2024-05-15,2024-05-15
63,MNLTS2456-02LS,MANILA - FLEET - LSCP - Feb 2024,2024-03-15,277648.93,2024-03-20,2024-01-01,,2024-05-15,2024-05-15
64,ORTTS2457-02LS,ORTIGAS - FLEET - LSCP - Feb 2024,2024-03-15,491043.37,2024-03-20,2024-01-01,,2024-05-15,2024-05-15
65,RZLTS2459-02LS,RIZAL - FLEET - LSCP - Feb 2024,2024-03-15,257168.71,2024-03-20,2024-01-01,,2024-05-15,2024-05-15
66,SJOTS2460-02LS,SN JOAQUIN - FLEET - LSCP - Feb 2024,2024-03-15,402141.02,2024-03-20,2024-01-01,,2024-05-15,2024-05-15
67,SPATS24061-02LS,SN PABLO - FLEET - LSCP - Feb 2024,2024-03-15,232638.63,2024-03-22,2024-01-01,,2024-05-15,2024-05-15
68,SROTS24062-02LS,STA ROSA - FLEET - LSCP - Feb 2024,2024-03-15,304901.75,2024-03-22,2024-01-01,,2024-05-15,2024-05-15
69,VALTS24063-02LS,VALENZUELA - FLEET - LSCP -  Feb 2024,2024-03-05,321956.33,2024-03-06,2024-01-01,,2024-05-15,2024-05-15
70,ALATS24064-02LS,PARANAQUE - TWE - LSCP - Feb 2024,2024-03-15,103696.82,2024-03-22,2024-03-26,,2024-05-15,2024-05-15
71,BALTS24065,BALINTAWAK-TWE - LSCP-Feb 2024,2024-03-19,79704.01,2024-03-21,2024-03-21,,2024-05-15,2024-05-15
72,DASTS24066-02LS,DASMARINAS - TWE - LSCP - Feb 2024,2024-03-15,56537.18,2024-03-22,2024-03-26,,2024-05-15,2024-05-15
73,MNLTS2467-02LS,MANILA - TWE - LSCP - Feb 2024,2024-03-15,0,2024-03-20,2024-03-21,,2024-05-15,2024-05-15
74,RZLTS2469-02LS,RIZAL - TWE - LSCP - Feb 2024,2024-03-15,80069.99,2024-03-20,2024-03-21,,2024-05-15,2024-05-15
75,SJOTS2470-02LS,SN JOAQUIN - TWE - LSCP - Feb 2024,2024-03-15,243860.24,2024-03-20,2024-03-21,,2024-05-15,2024-05-15
76,SPATS24071-02LS,SN PABLO - TWE - LSCP - Feb 2024,2024-03-15,127219.16,2024-03-22,2024-03-26,,2024-05-15,2024-05-15
77,SROTS24072-02LS,STA ROSA - TWE- LSCP - Feb 2024,2024-03-15,103616.34,2024-03-22,2024-03-26,,2024-05-15,2024-05-15
78,VALTS24073-02LS,VALENZUELA - TWE - LSCP -  Feb 2024,2024-03-05,126670.03,2024-03-06,2024-03-06,,2024-05-15,2024-05-15
79,MIETS24095-0005,PMS/CMS - UAM,2024-03-18,351801.83,2024-03-22,2024-03-22,,2024-05-15,2024-05-15
80,MIETS24095-0007,PMS/CMS - DUS,2024-03-18,114530,2024-03-22,2024-03-22,,2024-05-15,2024-05-15
81,MIETS24095-0008,PMS/CMS - HOME OFFICE,2024-03-18,122739.5,2024-03-22,2024-03-22,,2024-05-15,2024-05-15
82,PCRTS24085-02,TOYOTA INNOVA - NHG 7064,2024-03-12,42659.53,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
83,GBPTS24089-04,1 UNIT 2018 TOYOTA FORTUNER - NCV 7032,2024-03-12,77630.34,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
84,GBPTS24089-01,ONE UNIT TOYOTA INNOVA - AAX 1248,2024-02-07,10776.84,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
85,TEXTS24090-06,1 UNIT TOYOTA HILUX PICKUP  P8H 202,2024-03-12,27707.97,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
